other import 0.0010001659393310547
         202661 function calls (198117 primitive calls) in 0.516 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      742    0.016    0.000    0.016    0.000 <frozen importlib._bootstrap>:87(acquire)
     1290    0.016    0.000    0.016    0.000 <frozen importlib._bootstrap>:874(__enter__)
     1290    0.016    0.000    0.016    0.000 <frozen importlib._bootstrap>:878(__exit__)
      331    0.016    0.000    0.141    0.000 <frozen importlib._bootstrap>:901(_find_spec)
    338/1    0.016    0.000    0.516    0.516 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
      260    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1006(__init__)
      260    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1031(get_filename)
      260    0.000    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
      260    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1077(path_stats)
     2393    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:114(<listcomp>)
       43    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1155(__init__)
       43    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1171(create_module)
    43/35    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1179(exec_module)
      520    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
     1560    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
       29    0.000    0.000    0.016    0.001 <frozen importlib._bootstrap_external>:1333(_path_hooks)
      563    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1346(_path_importer_cache)
     1187    0.000    0.000    0.047    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
      314    0.000    0.000    0.094    0.000 <frozen importlib._bootstrap_external>:1383(_get_spec)
      314    0.000    0.000    0.094    0.000 <frozen importlib._bootstrap_external>:1415(find_spec)
      392    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1475(__init__)
      232    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1481(<genexpr>)
      303    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1509(_get_spec)
      506    0.016    0.000    0.078    0.000 <frozen importlib._bootstrap_external>:1514(find_spec)
      363    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1565(_fill_cache)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isdir)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1594(<setcomp>)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1606(path_hook_for_FileFinder)
       72    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:167(_path_isabs)
      520    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
      303    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
      260    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
      260    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
      260    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
      506    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:64(_relax_case)
      260    0.000    0.000    0.062    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
      303    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
      780    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
      260    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:841(create_module)
    260/1    0.000    0.000    0.516    0.516 <frozen importlib._bootstrap_external>:844(exec_module)
     2393    0.000    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:91(_path_join)
      260    0.000    0.000    0.094    0.000 <frozen importlib._bootstrap_external>:916(get_code)
       29    0.000    0.000    0.016    0.001 <frozen zipimport>:63(__init__)
      580    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
     35/1    0.000    0.000    0.516    0.516 <string>:1(<module>)
       12    0.000    0.000    0.000    0.000 <string>:1(__create_fn__)
        2    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:81(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:83(__init__)
       28    0.000    0.000    1.516    0.054 __init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(NBitBase)
        7    0.000    0.000    0.000    0.000 __init__.py:102(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:1040(StreamHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1049(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1060(flush)
        1    0.000    0.000    0.000    0.000 __init__.py:1123(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1194(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:12(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1200(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:1206(stream)
        1    0.000    0.000    0.000    0.000 __init__.py:1218(PlaceHolder)
        1    0.000    0.000    0.000    0.000 __init__.py:1260(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1265(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1280(disable)
        1    0.000    0.000    0.000    0.000 __init__.py:1284(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:132(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1335(_fixupParents)
