# List of space groups implemented in th python `spglib`
# number international_short international_full international schoenflies hall_number hall_symbol choice pointgroup_international pointgroup_schoenflies arithmetic_crystal_class_number arithmetic_crystal_class_symbol
1    P1          P 1                  P 1                              C1^1    1    P 1             std    1      C1   1   1P     
33   Pna2_1      P n a 2_1            P n a 2_1                        C2v^9   164  P 2c -2n        std    mm2    C2v  13  mm2P   
33   Pbn2_1      P b n 2_1            P b n 2_1                        C2v^9   165  P 2c -2ab       ba-c   mm2    C2v  13  mm2P   
33   P2_1nb      P 2_1 n b            P 2_1 n b                        C2v^9   166  P -2bc 2a       cab    mm2    C2v  13  mm2P   
33   P2_1cn      P 2_1 c n            P 2_1 c n                        C2v^9   167  P -2n 2a        -cba   mm2    C2v  13  mm2P   
33   Pc2_1n      P c 2_1 n            P c 2_1 n                        C2v^9   168  P -2n -2ac      bca    mm2    C2v  13  mm2P   
33   Pn2_1a      P n 2_1 a            P n 2_1 a                        C2v^9   169  P -2ac -2n      a-cb   mm2    C2v  13  mm2P   
34   Pnn2        P n n 2              P n n 2                          C2v^10  170  P 2 -2n         std    mm2    C2v  13  mm2P   
34   P2nn        P 2 n n              P 2 n n                          C2v^10  171  P -2n 2         cab    mm2    C2v  13  mm2P   
34   Pn2n        P n 2 n              P n 2 n                          C2v^10  172  P -2n -2n       bca    mm2    C2v  13  mm2P   
35   Cmm2        C m m 2              C m m 2                          C2v^11  173  C 2 -2          std    mm2    C2v  14  mm2C   
35   A2mm        A 2 m m              A 2 m m                          C2v^11  174  A -2 2          cab    mm2    C2v  14  mm2C   
35   Bm2m        B m 2 m              B m 2 m                          C2v^11  175  B -2 -2         bca    mm2    C2v  14  mm2C   
36   Cmc2_1      C m c 2_1            C m c 2_1                        C2v^12  176  C 2c -2         std    mm2    C2v  14  mm2C   
36   Ccm2_1      C c m 2_1            C c m 2_1                        C2v^12  177  C 2c -2c        ba-c   mm2    C2v  14  mm2C   
36   A2_1ma      A 2_1 m a            A 2_1 m a                        C2v^12  178  A -2a 2a        cab    mm2    C2v  14  mm2C   
36   A2_1am      A 2_1 a m            A 2_1 a m                        C2v^12  179  A -2 2a         -cba   mm2    C2v  14  mm2C   
36   Bb2_1m      B b 2_1 m            B b 2_1 m                        C2v^12  180  B -2 -2b        bca    mm2    C2v  14  mm2C   
36   Bm2_1b      B m 2_1 b            B m 2_1 b                        C2v^12  181  B -2b -2        a-cb   mm2    C2v  14  mm2C   
37   Ccc2        C c c 2              C c c 2                          C2v^13  182  C 2 -2c         std    mm2    C2v  14  mm2C   
37   A2aa        A 2 a a              A 2 a a                          C2v^13  183  A -2a 2         cab    mm2    C2v  14  mm2C   
37   Bb2b        B b 2 b              B b 2 b                          C2v^13  184  B -2b -2b       bca    mm2    C2v  14  mm2C   
38   Amm2        A m m 2              A m m 2                          C2v^14  185  A 2 -2          std    mm2    C2v  15  2mmC   
38   Bmm2        B m m 2              B m m 2                          C2v^14  186  B 2 -2          ba-c   mm2    C2v  15  2mmC   
38   B2mm        B 2 m m              B 2 m m                          C2v^14  187  B -2 2          cab    mm2    C2v  15  2mmC   
38   C2mm        C 2 m m              C 2 m m                          C2v^14  188  C -2 2          -cba   mm2    C2v  15  2mmC   
38   Cm2m        C m 2 m              C m 2 m                          C2v^14  189  C -2 -2         bca    mm2    C2v  15  2mmC   
38   Am2m        A m 2 m              A m 2 m                          C2v^14  190  A -2 -2         a-cb   mm2    C2v  15  2mmC   
39   Aem2        A e m 2              A e m 2                          C2v^15  191  A 2 -2b         std    mm2    C2v  15  2mmC   
39   Bme2        B m e 2              B m e 2                          C2v^15  192  B 2 -2a         ba-c   mm2    C2v  15  2mmC   
39   B2em        B 2 e m              B 2 e m                          C2v^15  193  B -2a 2         cab    mm2    C2v  15  2mmC   
39   C2me        C 2 m e              C 2 m e                          C2v^15  194  C -2a 2         -cba   mm2    C2v  15  2mmC   
39   Cm2e        C m 2 e              C m 2 e                          C2v^15  195  C -2a -2a       bca    mm2    C2v  15  2mmC   
39   Ae2m        A e 2 m              A e 2 m                          C2v^15  196  A -2b -2b       a-cb   mm2    C2v  15  2mmC   
40   Ama2        A m a 2              A m a 2                          C2v^16  197  A 2 -2a         std    mm2    C2v  15  2mmC   
40   Bbm2        B b m 2              B b m 2                          C2v^16  198  B 2 -2b         ba-c   mm2    C2v  15  2mmC   
40   B2mb        B 2 m b              B 2 m b                          C2v^16  199  B -2b 2         cab    mm2    C2v  15  2mmC   
40   C2cm        C 2 c m              C 2 c m                          C2v^16  200  C -2c 2         -cba   mm2    C2v  15  2mmC   
40   Cc2m        C c 2 m              C c 2 m                          C2v^16  201  C -2c -2c       bca    mm2    C2v  15  2mmC   
40   Am2a        A m 2 a              A m 2 a                          C2v^16  202  A -2a -2a       a-cb   mm2    C2v  15  2mmC   
41   Aea2        A e a 2              A e a 2                          C2v^17  203  A 2 -2ab        std    mm2    C2v  15  2mmC   
41   Bbe2        B b e 2              B b e 2                          C2v^17  204  B 2 -2ab        ba-c   mm2    C2v  15  2mmC   
41   B2eb        B 2 e b              B 2 e b                          C2v^17  205  B -2ab 2        cab    mm2    C2v  15  2mmC   
41   C2ce        C 2 c e              C 2 c e                          C2v^17  206  C -2ac 2        -cba   mm2    C2v  15  2mmC   
41   Cc2e        C c 2 e              C c 2 e                          C2v^17  207  C -2ac -2ac     bca    mm2    C2v  15  2mmC   
41   Ae2a        A e 2 a              A e 2 a                          C2v^17  208  A -2ab -2ab     a-cb   mm2    C2v  15  2mmC   
42   Fmm2        F m m 2              F m m 2                          C2v^18  209  F 2 -2          std    mm2    C2v  16  mm2F   
42   F2mm        F 2 m m              F 2 m m                          C2v^18  210  F -2 2          cab    mm2    C2v  16  mm2F   
42   Fm2m        F m 2 m              F m 2 m                          C2v^18  211  F -2 -2         bca    mm2    C2v  16  mm2F   
43   Fdd2        F d d 2              F d d 2                          C2v^19  212  F 2 -2d         std    mm2    C2v  16  mm2F   
43   F2dd        F 2 d d              F 2 d d                          C2v^19  213  F -2d 2         cab    mm2    C2v  16  mm2F   
43   Fd2d        F d 2 d              F d 2 d                          C2v^19  214  F -2d -2d       bca    mm2    C2v  16  mm2F   
44   Imm2        I m m 2              I m m 2                          C2v^20  215  I 2 -2          std    mm2    C2v  17  mm2I   
44   I2mm        I 2 m m              I 2 m m                          C2v^20  216  I -2 2          cab    mm2    C2v  17  mm2I   
44   Im2m        I m 2 m              I m 2 m                          C2v^20  217  I -2 -2         bca    mm2    C2v  17  mm2I   
45   Iba2        I b a 2              I b a 2                          C2v^21  218  I 2 -2c         std    mm2    C2v  17  mm2I   
45   I2cb        I 2 c b              I 2 c b                          C2v^21  219  I -2a 2         cab    mm2    C2v  17  mm2I   
45   Ic2a        I c 2 a              I c 2 a                          C2v^21  220  I -2b -2b       bca    mm2    C2v  17  mm2I   
46   Ima2        I m a 2              I m a 2                          C2v^22  221  I 2 -2a         std    mm2    C2v  17  mm2I   
46   Ibm2        I b m 2              I b m 2                          C2v^22  222  I 2 -2b         ba-c   mm2    C2v  17  mm2I   
46   I2mb        I 2 m b              I 2 m b                          C2v^22  223  I -2b 2         cab    mm2    C2v  17  mm2I   
46   I2cm        I 2 c m              I 2 c m                          C2v^22  224  I -2c 2         -cba   mm2    C2v  17  mm2I   
46   Ic2m        I c 2 m              I c 2 m                          C2v^22  225  I -2c -2c       bca    mm2    C2v  17  mm2I   
